Storage,Stage,SA
0,0,4.146483226
4.18563184,1,4.22490289
8.450050653,2,4.304057173
12.79399106,3,4.383946074
17.21818767,4,4.464569595
21.72337512,5,4.545927734
26.31028802,6,4.628020493
30.97966098,7,4.71084787
32.90300965,7.406817646,4.744753727
35.76987985,8,4.921854126
40.84391845,9,5.227760077
46.228474,10,5.542888026
51.9327685,11,5.867237972
57.96602395,12,6.200809915
64.33746233,13,6.543603855
71.05630565,14,6.895619792
78.13177591,15,7.256857726
85.5730951,16,7.627317657
89.86044109,16.55450953,7.836715857
1000,16.5546,7.8368
