landseg,landuse,thisyear,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A10001,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A10003,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A10005,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A11001,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A24001,alf,1982,0.85,0.85,0.88,0.79,0.79,0.93,0.79,0.79,0.805,0.85,0.85,0.85
A24003,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24005,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24009,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24011,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24013,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24015,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24017,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24019,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24021,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24023,alf,1982,0.85,0.85,0.88,0.79,0.79,0.93,0.79,0.79,0.805,0.85,0.85,0.85
A24025,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24027,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24029,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24031,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24033,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24035,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24037,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24039,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24041,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24043,alf,1982,0.85,0.85,0.88,0.79,0.79,0.93,0.79,0.79,0.805,0.85,0.85,0.85
A24045,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24047,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A24510,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A36003,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36007,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36011,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36015,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36017,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36023,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36025,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36043,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36051,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36053,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36065,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36067,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36069,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36077,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36095,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36097,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36101,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36107,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36109,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A36123,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A37001,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37005,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37009,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37033,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37067,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37077,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37081,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37131,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A37135,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37145,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37157,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37169,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37171,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37181,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37185,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A37189,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A42001,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A42009,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42011,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42013,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42015,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42021,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42023,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42025,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42027,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42029,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A42033,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42035,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42037,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42041,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42043,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42047,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42055,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42057,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42061,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42063,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42065,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42067,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42069,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42071,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A42075,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42079,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42081,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42083,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42087,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42093,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42097,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42099,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42105,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42107,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42109,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42111,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42113,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42115,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42117,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42119,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42127,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42131,alf,1982,0.85,0.85,0.88,0.65,0.65,0.93,0.93,0.93,0.88,0.85,0.85,0.85
A42133,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A47091,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A47163,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51001,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51003,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51005,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51007,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51009,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51011,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51013,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51015,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51017,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51019,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51021,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51023,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51025,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51027,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51029,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51031,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51033,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51035,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51036,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51037,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51041,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51043,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51045,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
